store_desc,store_desc1,address,coor_x,coor_y
广州市番禺区海底捞火锅(奥园广场店),广州市番禺区海底捞火锅(奥园广场店),广东省广州市番禺区福德路281号奥园广场F4,113.364137,22.930434
广州市番禺区海底捞火锅(番禺广场店),广州市番禺区海底捞火锅(番禺广场店),广东省广州市番禺区兴泰路基盛万科中央公园A区1-05、A2-02~03号商铺,113.392082,22.938103
广州市海珠区海底捞火锅(广州琶洲店),广州市海珠区海底捞火锅(广州琶洲店),广东省广州市海珠区新港东路1088号六元素体验天地F5,113.378435,23.102375
广州市海珠区海底捞火锅(琶洲万胜围店),广州市海珠区海底捞火锅(琶洲万胜围店),广东省广州市海珠区新港东路1222号万胜广场6楼601室,113.388887,23.103162
广州市天河区海底捞火锅(吉满家商业广场店),广州市天河区海底捞火锅(吉满家商业广场店),广东省广州市天河区东圃陂东路11号吉满家商业广场三楼309号,113.406112,23.123214
广州市天河区海底捞火锅(奥体南路店),广州市天河区海底捞火锅(奥体南路店),广州市天河区奥体南路12号优托邦商场北门2楼,113.423307,23.138148
广州市天河区海底捞火锅(漫广场店),广州市天河区海底捞火锅(漫广场店),广东省广州市天河区中山大道中1242号漫广场L4-120房,113.431556,23.118374
广州市黄埔区海底捞火锅(惠润广场店),广州市黄埔区海底捞火锅(惠润广场店),黄埔东路298号惠润广场F1,113.463381,23.105589
广州市黄埔区海底捞火锅(萝岗万达店),广州市黄埔区海底捞火锅(萝岗万达店),广州市黄埔区联和街道暹岗社区科丰路89号万达广场F3,113.473082,23.175179
广州市黄埔区海底捞火锅(萝岗奥园店),广州市黄埔区海底捞火锅(萝岗奥园店),广东省广州市黄埔区开创大道1934号萝岗奥园广场2楼,113.504505,23.17997
深圳市宝安区海底捞火锅(海雅缤纷商业中心分店),深圳市宝安区海底捞火锅(海雅缤纷商业中心分店),广东省深圳市宝安区新安街道建安一路99号海雅缤纷城4层416号商铺,113.912163,22.566998
深圳市宝安区海底捞火锅(壹方城店),深圳市宝安区海底捞火锅(壹方城店),广东省深圳市宝安区新安街道新安湖社区新湖路99号深圳前海壹方城F5,113.894615,22.5587
深圳市宝安区海底捞火锅(时代城店),深圳市宝安区海底捞火锅(时代城店),广东省深圳市宝安区海城路与宝源路交叉口时代城5楼,113.874583,22.572656
深圳市宝安区海底捞火锅(同泰时代广场店),深圳市宝安区海底捞火锅(同泰时代广场店),广东省深圳市宝安区福海街道桥头社区宝安大道6259号同泰时代广场F4,113.811159,22.684855
深圳市光明区海底捞火锅(光明大仟里店),深圳市光明区海底捞火锅(光明大仟里店),深圳市光明区松白路4699号大仟里四层L422~423号,113.900051,22.782059
深圳市宝安区海底捞火锅(松岗百佳华店),深圳市宝安区海底捞火锅(松岗百佳华店),广东省深圳市宝安区松岗街道广深路293号百佳华商场4楼401室,113.853794,22.774007
深圳市宝安区海底捞火锅(沙井京基百纳店),深圳市宝安区海底捞火锅(沙井京基百纳店),广东省深圳市宝安区沙井街道沙头社区沙井路168号京基百纳广场F6,113.81227,22.734436
深圳市宝安区海底捞火锅(新沙天虹店),深圳市宝安区海底捞火锅(新沙天虹店),广东省深圳市宝安区沙井街道东塘社区沙井西环路2105号天虹购物中心F7,113.80679,22.736634
广州市越秀区海底捞火锅(北京路店),广州市越秀区海底捞火锅(北京路店),广东省广州市越秀区中山四路395号5楼501、502、503、505号,113.275924,23.131469
广州市荔湾区海底捞火锅(恒宝广场店),广州市荔湾区海底捞火锅(恒宝广场店),广州市荔湾区宝华路133号恒宝广场2层14~15商铺,113.247817,23.122592
广州市海珠区海底捞火锅(富力海珠城店),广州市海珠区海底捞火锅(富力海珠城店),广州市海珠区江南大道中180号富力海珠城B区7层,113.280663,23.10163
广州市海珠区海底捞火锅(江燕万科里店),广州市海珠区海底捞火锅(江燕万科里店),广东省广州市海珠区江燕路97号万科里购物中心3楼302号铺,113.285274,23.089033
广州市海珠区海底捞火锅(珠影星光城店),广州市海珠区海底捞火锅(珠影星光城店),广州市海珠区新港中路354号珠影·星光城F2,113.32802,23.100099
